日期,机组名称,变动成本电价
2024-01-03,深圳247机组,451.01
2024-01-03,惠州236机组,699.18
2024-01-03,惠州237机组,699.18
2024-01-03,深圳285机组,757.44
2024-01-03,深圳286机组,757.44
2024-01-03,东莞281机组,757.44
2024-01-03,东莞282机组,757.44
2024-01-03,东莞277机组,757.44
2024-01-03,惠州273机组,757.44
2024-01-03,惠州274机组,757.44
2024-01-03,深圳270机组,757.44
2024-01-03,深圳271机组,757.44
2024-01-03,深圳272机组,757.44
2024-01-03,佛山268机组,757.44
2024-01-03,佛山269机组,757.44
2024-01-03,中山266机组,757.44
2024-01-03,中山267机组,757.44
2024-01-03,珠海262机组,757.44
2024-01-03,珠海263机组,757.44
2024-01-03,中山259机组,699.18
2024-01-03,江门255机组,699.18
2024-01-03,中山260机组,699.18
2024-01-03,中山261机组,699.18
2024-01-03,韶关165机组,459.39
2024-01-03,珠海170机组,399.66
2024-01-03,珠海171机组,399.66
2024-01-03,广州7机组,699.18
2024-01-03,广州8机组,699.18
2024-01-03,东莞289机组,757.44
2024-01-03,湛江172机组,370.87
2024-01-03,湛江173机组,370.87
2024-01-03,广州291机组,661.04
2024-01-03,广州292机组,661.04
2024-01-03,清远293机组,699.18
2024-01-03,清远294机组,699.18
2024-01-03,阳江72机组,370.87
2024-01-03,阳江73机组,370.87
2024-01-03,东莞283机组,699.18
2024-01-03,东莞284机组,699.18
2024-01-03,东莞295机组,699.18
2024-01-03,东莞296机组,699.18
2024-01-03,珠海299机组,699.18
2024-01-03,珠海300机组,699.18
2024-01-03,茂名174机组,370.87
2024-01-03,茂名175机组,370.87
2024-01-03,东莞290机组,757.44
2024-01-03,东莞301机组,699.18
2024-01-03,东莞302机组,699.18
2024-01-03,东莞303机组,699.18
2024-01-03,东莞304机组,699.18
2024-01-03,佛山30机组,464.39
2024-01-03,阳江379机组,0.0
2024-01-03,湛江422机组,0.0
2024-01-03,河源178机组,410.8
2024-01-03,河源179机组,410.8
2024-01-03,阳江469机组,0.0
2024-01-03,深圳287机组,699.18
2024-01-03,广州307机组,699.18
2024-01-03,深圳288机组,699.18
2024-01-03,广州308机组,699.18
2024-01-03,佛山305机组,699.18
2024-01-03,佛山306机组,699.18
2024-01-03,揭阳309机组,790.38
2024-01-03,阳江359机组,300.0
2024-01-03,揭阳310机组,790.38
2024-01-03,阳江360机组,300.0
2024-01-03,江门180机组,437.4
2024-01-03,江门518机组,0.0
2024-01-03,揭阳524机组,0.0
2024-01-03,清远532机组,0.0
2024-01-03,江门547机组,0.0
2024-01-03,江门545机组,0.0
2024-01-03,珠海431机组,0.0
2024-01-03,阳江481机组,0.0
2024-01-03,清远205机组,410.8
2024-01-03,清远206机组,410.8
2024-01-03,惠州482机组,0.0
2024-01-03,汕头331机组,394.66
2024-01-03,汕头332机组,394.66
2024-01-03,惠州275机组,699.18
2024-01-03,惠州276机组,699.18
2024-01-03,东莞333机组,699.18
2024-01-03,云浮209机组,437.4
2024-01-03,湛江423机组,0.0
