时间,温度,10米水平风速,10米垂直风速,降水,辐照
2024-11-29 20:00:00,288.0696716308594,-2.570638418197632,-2.411514520645142,0.00335093363901251,3.599998988149111e-12
2024-11-29 21:00:00,288.0007629394531,-2.638825416564941,-2.534094095230103,0.001672026428423123,3.599998988149111e-12
2024-11-29 22:00:00,288.3807373046875,-2.511475801467896,-2.599750280380249,0.004629379873222206,3.599998988149111e-12
2024-11-29 23:00:00,288.3257446289062,-2.615662813186646,-2.626639127731323,0.003313777369839954,4069.8642578125
2024-11-30 00:00:00,288.5514831542969,-2.675836324691772,-2.642177104949951,0.005340851203072816,225656.796875
2024-11-30 01:00:00,289.0570373535156,-2.657568693161011,-2.522041082382202,0.003129372771581984,757296.125
2024-11-30 02:00:00,292.2568054199219,-2.846567392349243,-2.457562923431396,0.003427998080951511,1317853.5
2024-11-30 03:00:00,292.5434875488281,-2.779651165008545,-2.334615707397461,0.003243593710067216,1777963.625
2024-11-30 04:00:00,292.8305969238281,-2.614799737930298,-2.132573843002319,0.003388777713553282,2049467.25
2024-11-30 05:00:00,294.46826171875,-2.375342845916748,-1.964402794837952,0.002724783826124622,2078994.875
2024-11-30 06:00:00,294.5362548828125,-2.123853921890259,-1.82960569858551,0.002823178647304303,1919355.375
2024-11-30 07:00:00,294.5898132324219,-2.068302869796753,-1.688400268554688,0.002576159204181749,1584459.75
2024-11-30 08:00:00,294.2743530273438,-2.116524219512939,-1.540895104408264,0.00288441765405878,1095886.0
2024-11-30 09:00:00,294.1009521484375,-2.24601936340332,-1.413993835449219,0.002902307642216329,517263.15625
2024-11-30 10:00:00,291.415771484375,-2.316673040390015,-1.302817940711975,0.002805976919262321,76898.6328125
2024-11-30 11:00:00,291.3059692382812,-2.537998676300049,-1.176669001579285,0.003441759645284037,3.599998988149111e-12
2024-11-30 12:00:00,291.2720642089844,-2.638668298721313,-0.9930722713470459,0.002798407876980491,3.599998988149111e-12
2024-11-30 13:00:00,291.1703491210938,-2.690269947052002,-0.8763816356658936,0.002917445272032637,3.599998988149111e-12
2024-11-30 14:00:00,290.4385070800781,-2.621110916137695,-0.7102667093276978,0.002664233079485712,3.599998988149111e-12
2024-11-30 15:00:00,289.84912109375,-2.439210176467896,-0.7044270634651184,0.002712398327275878,3.599998988149111e-12
2024-11-30 16:00:00,289.7420959472656,-2.363528966903687,-0.772806704044342,0.002329827793801087,3.599998988149111e-12
2024-11-30 17:00:00,289.14013671875,-2.260807991027832,-0.9326933026313782,0.001571567167957255,3.599998988149111e-12
2024-11-30 18:00:00,289.066162109375,-2.206271648406982,-1.159631252288818,0.001856430912994256,3.599998988149111e-12
2024-11-30 19:00:00,288.9844970703125,-2.15360426902771,-1.478327870368958,0.001500007215327059,3.599998988149111e-12
2024-11-30 20:00:00,288.3705444335938,-2.187610149383545,-1.804380655288696,0.002051844830930349,3.599998988149111e-12
2024-11-30 21:00:00,288.3065490722656,-2.211158275604248,-2.005153179168701,0.001809641730687872,3.599998988149111e-12
2024-11-30 22:00:00,288.499267578125,-2.327486038208008,-2.192665576934814,0.002730288315433427,3.599998988149111e-12
2024-11-30 23:00:00,288.4723510742188,-2.462321996688843,-2.031237602233887,0.002870656089726253,3805.922119140625
2024-12-01 00:00:00,288.6916809082031,-2.564680814743042,-1.889653325080872,0.003920661129086511,235222.4375
2024-12-01 01:00:00,289.1322021484375,-2.691620349884033,-1.633260250091553,0.002527305696276017,799918.1875
2024-12-01 02:00:00,293.2147216796875,-2.777944087982178,-1.249085664749146,0.003210565864719683,1400335.125
2024-12-01 03:00:00,293.5005493164062,-2.718458414077759,-0.8643892407417297,0.00335093363901251,1870088.25
2024-12-01 04:00:00,293.6945495605469,-2.555426359176636,-0.5792439579963684,0.003233272536817822,2118640.5
2024-12-01 05:00:00,295.8154602050781,-2.381448745727539,-0.4071909785270691,0.002428910875096335,2196805.0
